epoch=1,sr1=0.582, MRR=0.5712666666666667
epoch=2,sr1=0.638, MRR=0.6194722222222219
epoch=5,sr1=0.718, MRR=0.6994230158730158
epoch=5,sr1=0.708, MRR=0.6844920634920634
epoch=10,sr1=0.762, MRR=0.7401063492063492
epoch=15,sr1=0.78, MRR=0.7526547619047618
epoch=20,sr1=0.77, MRR=0.7618555555555552
epoch=25,sr1=0.798, MRR=0.7751484126984125
epoch=30,sr1=0.8, MRR=0.7725619047619046
epoch=35,sr1=0.796, MRR=0.777420634920635
epoch=40,sr1=0.804, MRR=0.7878531746031745
epoch=45,sr1=0.806, MRR=0.792088095238095
epoch=50,sr1=0.794, MRR=0.7848198412698411
epoch=55,sr1=0.786, MRR=0.7771476190476189
epoch=60,sr1=0.794, MRR=0.7904404761904759
epoch=65,sr1=0.792, MRR=0.7872611111111109
epoch=70,sr1=0.814, MRR=0.8050063492063491
epoch=75,sr1=0.828, MRR=0.8075373015873015
epoch=80,sr1=0.808, MRR=0.7972896825396822
epoch=85,sr1=0.81, MRR=0.8058809523809518
epoch=90,sr1=0.828, MRR=0.809742857142857
epoch=95,sr1=0.816, MRR=0.807203968253968
epoch=100,sr1=0.81, MRR=0.8064253968253967
epoch=105,sr1=0.822, MRR=0.814287301587301
epoch=110,sr1=0.81, MRR=0.81192619047619
epoch=115,sr1=0.82, MRR=0.813623809523809
epoch=120,sr1=0.826, MRR=0.8137357142857139
epoch=125,sr1=0.82, MRR=0.8050896825396822
epoch=130,sr1=0.816, MRR=0.8084753968253968
epoch=135,sr1=0.83, MRR=0.8150126984126984
epoch=140,sr1=0.824, MRR=0.808030952380952
epoch=145,sr1=0.82, MRR=0.8165825396825395
epoch=150,sr1=0.818, MRR=0.8084539682539679
epoch=155,sr1=0.816, MRR=0.8078809523809521
epoch=160,sr1=0.822, MRR=0.8047396825396826
epoch=165,sr1=0.828, MRR=0.8125190476190477
epoch=170,sr1=0.826, MRR=0.806385714285714
epoch=175,sr1=0.828, MRR=0.8182952380952377
epoch=180,sr1=0.834, MRR=0.8152539682539679
epoch=185,sr1=0.844, MRR=0.8245007936507935
epoch=190,sr1=0.846, MRR=0.8275015873015872
epoch=195,sr1=0.848, MRR=0.8264904761904761
